Class,Text,ID
Extract Method,Add RelMetadataProvider parameter to standard planner Programs The Programs class has a static method standard() used by the default Calcite driver. So far Calcite-Phoenix is using the same sql prepare logic with some slight customization like plugging in a set of its own rules. The static standard() though does not work properly for Phoenix since some sub-programs it returns are initiated with the default RelMetadataProvider while Phoenix needs to plug-in its own otherwise it just could not work.{code}  /** Program that converts filters and projects to {@link Calc}s. */  public static final Program CALC_PROGRAM =      hep(CALC_RULES true new DefaultRelMetadataProvider());  /** Program that expands sub-queries. */  public static final Program SUB_QUERY_PROGRAM =      hep(          ImmutableList.of((RelOptRule) SubQueryRemoveRule.FILTER              SubQueryRemoveRule.PROJECT              SubQueryRemoveRule.JOIN) true new DefaultRelMetadataProvider());{code},1
Extract Method,Allowing SqlOperator to be overridden in validation Calcite allows function to be overridden at validation step. To be more specific users can provide their SqlOperatorTable and at validation step their SqlOperatorTable will be called (method: lookupOperatorOverloads) to get a overriding function.  However so far SqlOperator (e.g. + -  * etc.) does not have this mechanism yet. Since other systems (e.g. Apache Drill) would have more flexible type-checks for SqlOperator's operands this mechanism is necessary for those systems to pass through the validation step.,2
Extract Method,Extend simplify for reducing expressions We would like to cover more cases in expression simplification such as:x>5 and x is not null => x>5x>5 and x is null => not satisfiablex>5 and x<=5 => not satisfiable,4
Rename Method,Add unary operator support for IS_NULL and IS_NOT_NULL to RexImplicationChecker Currently we support only SQL Comparison operators (SqlKind.COMPARE) for checking if one predicate implies another using RexImplicationChecker.We would like to extend it for couple of Unary operators based on user request ( CALCITE-1104): IS_NULL and IS_NOT_NULL,5
Extract Method,Send back ErrorResponse on failure to parse requests In trying to debug an issue on ASF jenkins I noticed that serialization errors did not result in an ErrorResponse sent back to the client (so the server-side stacktrace was lost).,6
Extract Method,"Add new rules for Materialised view optimisation of join queries This is to keep track of adding new rules that would enable optimisation using view of join queries. For instance when we have materialised view of  table 'X' named 'X_part' defined by query: "" select * from X where X.a > '2016-01-01' "" then we expect following query to be optimised by 'X_part':select * from X inner join Y on X.id = Y.xid inner join Z on Y.id=Z.yid where X.a > '2016-02-02' and Y.b = ""Bangalore"" Following are the changes done in Quark which we are planning to pull into Calcite:1. Add a new Rule for Filter on TableScan. Basically after predicate has been pushed through join onto table scan new rule checks if it can be optimised by Materialised View.https://github.com/qubole/quark/blob/master/optimizer/src/main/java/com/qubole/quark/planner/MaterializedViewFilterScanRule.java2. Add a new Unify rule to MaterialisedSubstitutionVisitor:https://github.com/qubole/incubator-calcite/commit/2d031d14d23810291377d92dc5ef2eaa515d35b7",7
Extract Method,Add a method to SqlOperatorBinding to determine whether operand is a literal When Drill is doing type inference a decimal {color:red} literal {color} can be treated as double in some cases. However SqlOperatorBinding has not had a method to tell the caller if an operand is literal or not. This JIRA proposes adding such a helper method. ,8
Extract Method,Add view name to the ViewExpander The ViewExpander.expandView() call already has the schema path that contains the view but not the view name itself.In some context it is useful to also know the name of the view being expanded.current call:{code}RelRoot expandView(        RelDataType rowType        String queryString        SchemaPlus rootSchema        List<String> schemaPath);{code}proposed:{code}RelRoot expandView(        RelDataType rowType        String queryString        SchemaPlus rootSchema        List<String> schemaPath        String viewName);{code},10
Extract Method,Lazy evaluate RexCall digests Currently RexCall compute digests eagerly in its constructor also it compute digest every time when toString invoked. It may cause performance issue when the RexCall tree is very large.,11
Extract Method,Use user-given names in RelOptUtil.createProject and createRename 0,12
