,ExtractMethod,InlineMethod,MoveMethod,RenameMethod
1789,1,0,0,0
177,1,0,0,0
3861,1,0,0,0
3740,1,0,0,0
790,0,1,0,0
1258,1,0,0,0
678,1,0,0,0
3915,0,1,0,0
2270,0,1,0,0
2164,1,0,0,0
96,0,0,0,1
43,1,0,0,0
3300,0,0,0,1
1497,1,0,0,0
1242,1,0,0,0
759,0,1,0,0
2348,1,0,0,0
2025,1,0,0,0
1674,1,0,0,0
3074,1,0,0,0
25,1,0,0,0
2309,0,0,0,1
2522,1,0,0,0
679,0,0,0,1
1849,0,0,1,0
781,1,0,0,0
2700,1,0,0,0
3633,1,0,0,0
3784,0,0,0,1
1260,1,0,0,0
1393,0,0,0,1
2389,0,0,1,0
2153,0,1,0,0
883,1,0,0,0
382,0,1,0,0
2843,0,1,0,0
1344,1,0,0,0
3307,0,0,0,1
31,0,1,0,0
3543,1,0,0,0
1532,1,0,0,0
2877,1,0,0,0
610,1,0,0,0
570,1,0,0,0
343,0,1,0,0
3319,0,0,0,1
1657,1,0,0,0
3046,0,0,0,1
2503,0,0,0,1
3453,1,0,0,0
2107,0,0,0,1
1583,1,0,0,0
1818,0,0,1,0
2525,1,0,0,0
3482,0,1,0,0
965,0,0,0,1
528,1,0,0,0
176,1,0,0,0
422,0,0,0,1
1793,0,0,1,0
3249,1,0,0,0
2493,1,0,0,0
572,1,0,0,0
2307,0,0,0,1
288,1,0,0,0
3778,1,0,0,0
1222,0,0,0,1
3866,0,0,0,1
3791,1,0,0,0
2627,1,0,0,0
3185,1,0,0,0
1398,0,0,0,1
3434,1,0,0,0
1910,0,0,0,1
1736,1,0,0,0
2018,1,0,0,0
3648,0,0,0,1
370,1,0,0,0
2815,1,0,0,0
1714,1,0,0,0
3577,1,0,0,0
1672,1,0,0,0
3061,0,0,0,1
141,1,0,0,0
3363,1,0,0,0
491,1,0,0,0
198,1,0,0,0
1795,1,0,0,0
2010,0,0,0,1
2953,1,0,0,0
2387,1,0,0,0
195,1,0,0,0
874,0,0,0,1
2446,1,0,0,0
3297,1,0,0,0
840,0,0,0,1
581,1,0,0,0
3013,0,0,0,1
905,1,0,0,0
631,0,0,0,1
2034,1,0,0,0
162,0,1,0,0
2632,1,0,0,0
1289,0,0,0,1
2364,0,1,0,0
2669,1,0,0,0
925,1,0,0,0
1839,0,0,1,0
547,1,0,0,0
2123,1,0,0,0
1288,1,0,0,0
2886,1,0,0,0
2103,0,1,0,0
611,0,1,0,0
3621,1,0,0,0
3669,1,0,0,0
1514,1,0,0,0
1876,0,0,0,1
742,1,0,0,0
637,0,0,0,1
2287,0,0,1,0
2022,0,0,0,1
3793,0,0,0,1
1097,0,0,0,1
1490,0,0,0,1
48,1,0,0,0
3030,1,0,0,0
921,0,0,0,1
3570,1,0,0,0
756,0,0,0,1
2942,1,0,0,0
3379,0,0,0,1
1474,1,0,0,0
3560,1,0,0,0
2177,0,0,0,1
1971,1,0,0,0
2823,0,0,0,1
1954,0,0,0,1
1220,1,0,0,0
2442,1,0,0,0
2540,1,0,0,0
1292,0,0,0,1
2789,0,0,1,0
1538,1,0,0,0
1070,0,0,0,1
3689,0,0,0,1
3199,1,0,0,0
3054,1,0,0,0
3611,0,0,1,0
1721,0,1,0,0
3702,0,0,0,1
1862,1,0,0,0
1803,1,0,0,0
3094,1,0,0,0
2378,1,0,0,0
2268,0,0,0,1
3479,1,0,0,0
1558,0,1,0,0
1747,1,0,0,0
1295,1,0,0,0
3142,0,1,0,0
2383,1,0,0,0
2769,0,0,0,1
867,0,0,1,0
926,0,0,0,1
3057,1,0,0,0
997,1,0,0,0
3028,0,0,0,1
3836,1,0,0,0
1132,0,1,0,0
1861,1,0,0,0
2899,1,0,0,0
210,1,0,0,0
1764,1,0,0,0
59,0,1,0,0
1741,1,0,0,0
2821,1,0,0,0
3905,1,0,0,0
2666,0,0,0,1
765,0,0,0,1
2375,0,0,0,1
3138,0,0,0,1
1078,0,0,0,1
2985,1,0,0,0
1502,1,0,0,0
3984,0,0,0,1
2073,0,0,0,1
582,1,0,0,0
1902,1,0,0,0
2935,1,0,0,0
1424,1,0,0,0
940,1,0,0,0
1080,0,0,0,1
187,1,0,0,0
3536,1,0,0,0
2794,1,0,0,0
2684,1,0,0,0
1422,1,0,0,0
3827,1,0,0,0
1501,0,0,0,1
3514,1,0,0,0
226,0,0,1,0
2819,1,0,0,0
535,1,0,0,0
3192,0,0,1,0
3223,0,0,0,1
