,v1_comment,Change Attribute Type,Change Parameter Type,Change Return Type,Change Variable Type,Move Class,Rename Attribute,Rename Class,Rename Method,Rename Parameter,Rename Variable
0,todo: remove,1,1,0,0,0,0,0,0,0,0
1,todo: remove,1,1,0,0,0,0,0,0,0,0
2,"todo:
handle 4-byte diag probe 'd' 'i' 'a' 'g'
todo:",1,0,0,0,1,1,0,0,0,0
3,"bind_addr not set, try to assign one by default. This is needed on Windows
@todo: replace this code in JDK 1.4 with java.net.NetworkInterface API",1,0,0,0,1,1,0,0,0,0
4,todo: make this more efficient (iteration is bad) ! Use array rather than HashMap for connectors,1,0,0,0,1,1,0,0,0,0
5,todo: add more useful info,1,0,0,0,1,1,0,0,0,0
6,"todo:
handle 4-byte diag probe 'd' 'i' 'a' 'g'
todo:",1,0,0,0,1,1,0,0,0,0
7,"bind_addr not set, try to assign one by default. This is needed on Windows
@todo: replace this code in JDK 1.4 with java.net.NetworkInterface API",1,0,0,0,1,1,0,0,0,0
8,todo: make this more efficient (iteration is bad) ! Use array rather than HashMap for connectors,1,0,0,0,1,1,0,0,0,0
9,todo: add more useful info,1,0,0,0,1,1,0,0,0,0
10,"bind_addr not set, try to assign one by default. This is needed on Windows
@todo: replace this code in JDK 1.4 with java.net.NetworkInterface API",1,0,0,1,0,1,1,0,0,1
11,"bind_addr not set, try to assign one by default. This is needed on Windows
@todo: replace this code in JDK 1.4 with java.net.NetworkInterface API",1,0,0,1,0,1,1,0,0,1
12,"wasn't here before, bad bug !",1,1,0,0,0,0,0,0,0,0
13,"wasn't here before, bad bug !",1,1,0,0,0,0,0,0,0,0
14,"wasn't here before, bad bug !",1,1,0,0,0,0,0,0,0,0
15,"wasn't here before, bad bug !",1,1,0,0,0,0,0,0,0,0
16,todo: remove below,0,0,0,0,0,0,0,0,0,1
17,todo: remove below,0,0,0,0,0,0,0,0,0,1
18,"todo: marshal msg into buffer, create datagram, send it",0,0,0,0,0,0,0,0,1,0
19,"todo: receive datagram, convert to Message, pass up the stack",0,0,0,0,0,0,0,0,1,0
20,"todo: marshal msg into buffer, create datagram, send it",0,0,0,0,0,0,0,0,1,0
21,"todo: receive datagram, convert to Message, pass up the stack",0,0,0,0,0,0,0,0,1,0
22,todo: set to a higher value,1,0,0,0,0,0,0,0,0,0
23,todo: set to a higher value,1,0,0,0,0,0,0,0,0,0
24,todo: remove,0,0,1,1,0,0,0,1,0,1
25,todo: remove,0,0,1,1,0,0,0,1,0,1
26,this should never happen though !,0,1,0,0,0,1,0,0,0,1
27,this should never happen though !,0,1,0,0,0,1,0,0,0,1
28,todo: remove containsKey() once this is debugged,0,0,1,0,0,0,0,0,0,0
29,todo: remove containsKey() once this is debugged,0,0,1,0,0,0,0,0,0,0
30,"2. Send down a local TMP_VIEW event. This is needed by certain layers (e.g. NAKACK) to compute correct digest
in case client's next request (e.g. getState()) reaches us *before* our own view change multicast.
Check NAKACK's TMP_VIEW handling for details",0,0,1,0,0,0,0,0,0,0
31,"2. Send down a local TMP_VIEW event. This is needed by certain layers (e.g. NAKACK) to compute correct digest
in case client's next request (e.g. getState()) reaches us *before* our own view change multicast.
Check NAKACK's TMP_VIEW handling for details",0,0,1,0,0,0,0,0,0,0
32,Give up this connection,1,0,1,0,1,0,0,0,0,0
33,may not be very efficient (but safe),1,0,1,0,1,0,0,0,0,0
34,Give up this connection,1,0,1,0,1,0,0,0,0,0
35,may not be very efficient (but safe),1,0,1,0,1,0,0,0,0,0
36,TODO read all the props,0,0,0,1,0,0,0,0,1,1
37,TODO do real setup from props,0,0,0,1,0,0,0,0,1,1
38,TODO setup buffer sizes,0,0,0,1,0,0,0,0,1,1
39,TODO exception handling,0,0,0,1,0,0,0,0,1,1
40,TODO cleanup,0,0,0,1,0,0,0,0,1,1
41,TODO read all the props,0,0,0,1,0,0,0,0,1,1
42,TODO do real setup from props,0,0,0,1,0,0,0,0,1,1
43,TODO setup buffer sizes,0,0,0,1,0,0,0,0,1,1
44,TODO exception handling,0,0,0,1,0,0,0,0,1,1
45,TODO cleanup,0,0,0,1,0,0,0,0,1,1
46,todo: remove,1,0,0,1,0,0,0,0,0,0
47,let's give the garbage collector a hand... this is probably useless though,1,0,0,1,0,0,0,0,0,0
48,todo: remove,1,0,0,1,0,0,0,0,0,0
49,let's give the garbage collector a hand... this is probably useless though,1,0,0,1,0,0,0,0,0,0
50,"todo: add new members to received, remove left members from received",1,0,0,1,0,0,0,0,0,1
